Enrollment	Final_Grade	Explicación
49147	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
49148	NULL	NULL
49152	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
49153	NULL	NULL
49167	B	"A menudo, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Con frecuencia logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; suele describir en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
49188	B	"A menudo, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Con frecuencia logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; suele describir en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
49197	NULL	NULL
49202	NULL	NULL
49234	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
49247	E	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. 
