Enrollment	Evento	FechaHora
9001	Regres— al navegador	10/04/21 14:02
49455	[Login] Acceso concedido---sin Azure	10/04/21 14:47
49455	Cambio de pesta–a	10/04/21 14:48
49212	[Login] Acceso concedido---sin Azure	10/04/21 14:48
49212	Salida del navegador	10/04/21 14:48
49212	Regres— al navegador	10/04/21 14:48
49570	[Login] Acceso concedido---sin Azure	10/04/21 14:48
49455	Cambio de pesta–a	10/04/21 14:48
49922	[Login] Acceso concedido---sin Azure	10/04/21 14:49
49563	[Login] Acceso concedido---sin Azure	10/04/21 14:49
49563	Salida del navegador	10/04/21 14:49
49563	Regres— al navegador	10/04/21 14:49
49690	[Login] Acceso concedido---sin Azure	10/04/21 14:49
49585	[Login] Acceso concedido---sin Azure	10/04/21 14:49
49455	Cambio de pesta–a	10/04/21 14:49
49455	Cambio de pesta–a	10/04/21 14:49
49269	[Login] Acceso concedido---sin Azure	10/04/21 14:50
49269	Regres— al navegador	10/04/21 14:50
49269	Salida del navegador	10/04/21 14:50
49455	Cambio de pesta–a	10/04/21 14:50
49455	Cambio de pesta–a	10/04/21 14:51
49455	Cambio de pesta–a	10/04/21 14:51
49455	Cambio de pesta–a	10/04/21 14:51
49455	Cambio de pesta–a	10/04/21 14:51
49455	Cambio de pesta–a	10/04/21 14:52
49455	Cambio de pesta–a	10/04/21 14:52
49647	[Login] Acceso concedido---sin Azure	10/04/21 14:52
49671	[Login] Acceso concedido---sin Azure	10/04/21 14:52
49551	[Login] Acceso concedido---sin Azure	10/04/21 14:52
50615	[Login] Acceso concedido---sin Azure	10/04/21 14:53
50615	Salida del navegador	10/04/21 14:53
50615	Regres— al navegador	10/04/21 14:53
50615	Salida del navegador	10/04/21 14:53
50615	Regres— al navegador	10/04/21 14:53
49186	[Login] Acceso concedido---sin Azure	10/04/21 14:53
49262	[Login] Acceso concedido---sin Azure	10/04/21 14:53
49262	Salida del navegador	10/04/21 14:53
49262	Regres— al navegador	10/04/21 14:53
50615	Salida del navegador	10/04/21 14:53
50615	Regres— al navegador	10/04/21 14:54
49186	Regres— al navegador	10/04/21 14:54
49186	Salida del navegador	10/04/21 14:54
50615	Salida del navegador	10/04/21 14:54
49186	Salida del navegador	10/04/21 14:54
49186	Cambio de pesta–a	10/04/21 14:54
50326	[Login] Acceso concedido---sin Azure	10/04/21 14:54
49186	Cambio de pesta–a	10/04/21 14:54
50615	Regres— al navegador	10/04/21 14:54
50615	Salida del navegador	10/04/21 14:54
50326	Regres— al navegador	10/04/21 14:54
50326	Salida del navegador	10/04/21 14:54
50326	Cambio de pesta–a	10/04/21 14:54
50326	Creo una nueva pestana	10/04/21 14:54
50326	Cambio de pesta–a	10/04/21 14:54
50326	Regres— al navegador	10/04/21 14:55
50326	Salida del navegador	10/04/21 14:55
50326	Cambio de pesta–a	10/04/21 14:55
50326	Regres— al navegador	10/04/21 14:55
50326	Salida del navegador	10/04/21 14:56
50326	Cambio de pesta–a	10/04/21 14:56
50326	Creo una nueva pestana	10/04/21 14:56
50326	Cambio de pesta–a	10/04/21 14:56
50326	Cambio de pesta–a	10/04/21 14:56
50326	Regres— al navegador	10/04/21 14:57
49703	[Login] Acceso concedido---sin Azure	10/04/21 14:57
49406	[Login] Acceso concedido---sin Azure	10/04/21 14:57
49629	[Login] Acceso concedido---sin Azure	10/04/21 14:57
49756	[Login] Acceso concedido---sin Azure	10/04/21 14:57
49756	Salida del navegador	10/04/21 14:57
49756	Regres— al navegador	10/04/21 14:57
49756	Salida del navegador	10/04/21 14:58
49756	Regres— al navegador	10/04/21 14:58
49896	[Login] Acceso concedido---sin Azure	10/04/21 14:58
num_rows vacia log	Salida del navegador	10/04/21 14:59
num_rows vacia log	Creo una nueva pestana	10/04/21 14:59
num_rows vacia log	Cambio de pesta–a	10/04/21 14:59
num_rows vacia log	Cambio de pesta–a	10/04/21 14:59
50326	Salida del navegador	10/04/21 14:59
50326	Cambio de pesta–a	10/04/21 14:59
50326	Cambio de pesta–a	10/04/21 14:59
49868	[Login] Acceso concedido---sin Azure	10/04/21 14:59
49868	Cambio de pesta–a	10/04/21 14:59
num_rows vacia log	Regres— al navegador	10/04/21 15:00
50326	Regres— al navegador	10/04/21 15:00
49756	Salida del navegador	10/04/21 15:00
50326	Salida del navegador	10/04/21 15:00
50326	Cambio de pesta–a	10/04/21 15:00
49868	Cambio de pesta–a	10/04/21 15:00
50326	Cambio de pesta–a	10/04/21 15:00
49868	Cambio de pesta–a	10/04/21 15:00
49881	[Login] Acceso concedido---sin Azure	10/04/21 15:01
50597	[Login] Acceso concedido---sin Azure	10/04/21 15:01
49756	Regres— al navegador	10/04/21 15:01
50597	Salida del navegador	10/04/21 15:01
50597	Regres— al navegador	10/04/21 15:01
num_rows vacia log	Salida del navegador	10/04/21 15:01
num_rows vacia log	Creo una nueva pestana	10/04/21 15:01
num_rows vacia log	Cambio de pesta–a	10/04/21 15:01
49160	[Login] Acceso concedido---sin Azure	10/04/21 15:01
49242	[Login] Acceso concedido---sin Azure	10/04/21 15:01
49840	[Login] Acceso concedido---sin Azure	10/04/21 15:01
50326	Regres— al navegador	10/04/21 15:01
49840	Regres— al navegador	10/04/21 15:01
